Carding Machine,x0,y0,yaw0,x1,y1,yaw1,Draw Frames,dfx0,dfy0,dfyaw0,Ax1,Ay1,Ayaw1,Ax2,Ay2,Ayaw2,Ax3,Ay3,Ayaw3,Ax4,Ay4,Ayaw4,Bx1,By1,Byaw1,Bx2,By2,Byaw2,Bx3,By3,Byaw3,Bx4,By4,Byaw4
12,27.69,-23.329,3.14,25.375,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,24.09,-23.329,3.14,21.775,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20.49,-23.329,3.14,18.175,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16.89,-23.329,3.14,14.575,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,13.29,-23.329,3.14,10.975,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9.69,-23.329,3.14,7.375,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6.09,-23.329,3.14,3.775,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-5.06,1.7055,3.14,-7.375,1.7055,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-8.66,1.7055,3.14,-10.975,1.7055,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-12.26,1.7055,3.14,-14.575,1.7055,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-15.86,1.7055,3.14,-18.175,1.7055,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-19.46,1.7055,3.14,-21.775,1.7055,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-23.06,1.7055,3.14,-25.375,1.7055,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,-26.66,1.7055,3.14,-28.975,1.7055,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,-30.26,1.7055,3.14,-32.575,1.7055,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,-33.86,1.7055,3.14,-36.175,1.7055,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,-5.06,-23.329,3.14,-7.375,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,-8.66,-23.329,3.14,-10.975,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,-12.26,-23.329,3.14,-14.575,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,-15.86,-23.329,3.14,-18.175,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,-19.46,-23.329,3.14,-21.775,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,-23.06,-23.329,3.14,-25.375,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,-26.66,-23.329,3.14,-28.975,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,-30.26,-23.329,3.14,-32.575,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,-33.86,-23.329,3.14,-36.175,-23.329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
